shop_id,chain_code,chain_name,shop_name,address,lat,lng,payment_tags,source_url
blue-tag-shop-56c9a0e717,blue-tag,アパレル,アタック宇部店,山口県宇部市中野開作414-5,,,blue_tag,https://atackbase.com/shop/ube/
blue-tag-shop-3224064b32,blue-tag,アパレル,アタック小千谷店,新潟県小千谷市平沢1-788-5,,,blue_tag,https://atackbase.com/shop/ojiya/
blue-tag-shop-25d5ffe4ac,blue-tag,アパレル,アタック小豆餅店,静岡県浜松市中央区小豆餅3-26-1,,,blue_tag,https://atackbase.com/shop/
blue-tag-shop-01c8bf669a,blue-tag,アパレル,アタック尾道店,広島県尾道市高須町3647-1,,,blue_tag,https://atackbase.com/shop/onomichi/
blue-tag-shop-c41670c07e,blue-tag,アパレル,アタック平店,福島県いわき市平　上荒川字長尾40-3,,,blue_tag,https://atackbase.com/shop/taira/
blue-tag-shop-8490b15cbe,blue-tag,アパレル,アタック徳島店,徳島県名西郡　石井町高川原　字桜間271-1,,,blue_tag,https://atackbase.com/shop/tokushima/
blue-tag-shop-e447d2a15b,blue-tag,アパレル,アタック新涯店,広島県福山市新涯町1-24-34,,,blue_tag,https://atackbase.com/shop/
blue-tag-shop-5128899724,blue-tag,アパレル,アタック新見店,岡山県新見市高尾2480-19,,,blue_tag,https://atackbase.com/shop/niimi/
blue-tag-shop-af0a734c67,blue-tag,アパレル,アタック玉野店,岡山県玉野市築港3-1-12,,,blue_tag,https://atackbase.com/shop/tamano/
blue-tag-shop-2913f65d03,blue-tag,アパレル,アタック真庭店,岡山県真庭市久世2287-1,,,blue_tag,https://atackbase.com/shop/maniwa/
blue-tag-shop-aa493dd55d,blue-tag,アパレル,アタック神辺店,広島県福山市神辺町　川南667-1,,,blue_tag,https://atackbase.com/shop/kannabe/
blue-tag-shop-42fbb92ebd,blue-tag,アパレル,アタック福島店,福島県福島市鎌田字御仮家96,,,blue_tag,https://atackbase.com/shop/fukushima/
blue-tag-shop-190cfcb67f,blue-tag,アパレル,アタック笠岡店,岡山県笠岡市笠岡276-2,,,blue_tag,https://atackbase.com/shop/kasaoka/
blue-tag-shop-5900c6484e,blue-tag,アパレル,アタック藤枝店,静岡県藤枝市水上10-10,,,blue_tag,https://atackbase.com/shop/
blue-tag-shop-091afcb0a4,blue-tag,アパレル,アタック越谷店,埼玉県越谷市東大沢2-33-10,,,blue_tag,https://atackbase.com/shop/kosigaya/
blue-tag-shop-9167516273,blue-tag,アパレル,アタック長岡店,新潟県長岡市三ツ郷屋2-1-14西長岡ぷらーざ内,,,blue_tag,https://atackbase.com/shop/nagaoka/
blue-tag-shop-433c4386b3,blue-tag,その他小売り,アラヨ人形,福井県福井市順化2-1-6,,,blue_tag,https://www.arayo-fukui.com/
blue-tag-shop-edefb34d16,blue-tag,自動車・バイク用品,アルファロメオ岡山,岡山県岡山市　南区米倉32-3,,,blue_tag,https://okayama.alfaromeo-dealer.jp/alfaromeo/
blue-tag-shop-63f1483f40,blue-tag,ペット用品,アワジヤ,大阪府大阪市　西区九条1-6-17,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-6b7b0b3f8c,blue-tag,コンビニエンスストア,アーバンショップ,富山県富山市牛島町18-7,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-839b005f4b,blue-tag,宿泊施設,アーバンホテル京都,京都府京都市　伏見区深草　西浦町4-59,,,blue_tag,https://uh-urban.com/kyoto/
blue-tag-shop-68b0f1ff01,blue-tag,宿泊施設,アーバンホテル京都二条プレミアム,京都府京都市　中京区聚楽廻　南町25-5,,,blue_tag,https://uh-urban.com/nijo/
blue-tag-shop-897e8204ad,blue-tag,宿泊施設,アーバンホテル京都五条プレミアム,京都府京都市　下京区小泉町87,,,blue_tag,https://uh-urban.com/gojo/
blue-tag-shop-569697d928,blue-tag,宿泊施設,アーバンホテル京都四条プレミアム,京都府京都市　下京区四条　堀川町272-6,,,blue_tag,https://uh-urban.com/shijo/
blue-tag-shop-de86ad23a4,blue-tag,宿泊施設,アーバンホテル南草津,滋賀県草津市南草津1-1-5,,,blue_tag,https://uh-urban.com/minami-kusatsu/
blue-tag-shop-4d80f49bca,blue-tag,宿泊施設,アーバンホテル草津,滋賀県草津市大路1-4-31,,,blue_tag,https://uh-urban.com/kusatsu/
blue-tag-shop-e4e4202562,blue-tag,アパレル,イシイハット,岡山県岡山市　北区奉還町2-8-14,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-76c0480509,blue-tag,その他小売り,イタリアワイン専門　ルーヴァ,大阪府大阪市中央区南船場1-8-6ヨシイチビル5階,,,blue_tag,https://luva.jp
niina-06b9ba3783,blue-tag,専門料理店,イタリアンバルNIINA,大阪府大阪市　中央区東心斎橋1-19-8日宝プロムナード心斎橋1F,,,blue_tag,https://yoyaku-niina.com/
blue-tag-shop-1238ce4ddb,blue-tag,専門料理店,イタリアン割烹心,京都府京都市東山区清本町374-13,,,blue_tag,https://www.italiankappo-shin.com/
blue-tag-shop-98f03c1425,blue-tag,専門料理店,イタリア食堂ちぇるきお,大阪府大阪市　平野区平野宮町１－５－５－１７９,,,blue_tag,https://hiranoku-cerchio.owst.jp/
blue-tag-shop-de80e247d7,blue-tag,居酒屋・バー,イチサン天満橋店,大阪府大阪市中央区天満橋京町1-21長戸ビル1Ｆ,,,blue_tag,https://tabelog.com/osaka/A2701/A270104/27126683/
